Accident_Index,Latitude,Longitude,Year,Month,Day,Hour,Speed_limit,Car_involved_in_accident,Motorcycle_involved_in_accident,Truck_involved_in_accident,Other_vehicle_involved_in_accident
2005030004201,54.260381,-2.957143,2005,12,28,15,60,1,0,0,0
200504A003405,53.757902,-2.855127,2005,1,21,15,50,1,0,0,0
200504A004405,53.833315,-3.0270040000000003,2005,1,24,11,30,0,0,1,1
200504AL05034,53.76123199999999,-2.802557,2005,7,11,8,50,0,1,0,0
200504AL05176,53.750587,-2.9990509999999997,2005,12,15,16,30,1,0,0,0
200504AM05056,53.793792,-3.002659,2005,6,7,19,40,0,0,0,1
200504AM05113,53.799525,-3.015701,2005,11,29,14,30,0,1,0,0
200504AN05080,53.826831999999996,-3.028364,2005,12,22,17,30,1,1,0,0
200504B002605,53.861959999999996,-2.820449,2005,1,10,6,30,1,0,0,0
200504B004805,53.890987,-2.9549220000000003,2005,1,29,15,60,1,1,0,0
200504B006005,53.876028000000005,-2.744519,2005,2,3,21,70,1,0,0,0
200504B008105,53.876065000000004,-3.041589,2005,2,14,15,30,0,0,0,1
200504B011705,54.095403000000005,-2.8041009999999997,2005,2,24,15,40,1,0,0,0
200504B011805,53.880703000000004,-2.744298,2005,3,1,9,70,1,0,1,0
200504B017605,53.87422900000001,-2.744639,2005,2,25,17,70,1,0,1,0
200504B018405,53.818391000000005,-2.733472,2005,3,29,14,40,1,0,0,0
200504BB05014,54.067972,-2.8460509999999997,2005,6,17,12,30,1,0,0,0
200504BB05116,54.039809,-2.8628880000000003,2005,11,21,9,50,1,0,0,0
200504BC05001,53.892782999999994,-2.834596,2005,5,8,13,60,1,0,0,1
200504BC05005,53.85061700000001,-3.00052,2005,5,19,8,30,1,1,1,0
200504BC05010,53.93084399999999,-2.774737,2005,5,27,2,50,1,0,0,0
200504BC05086,53.895773999999996,-2.7489790000000003,2005,8,14,12,70,1,0,1,0
200504BC05100,53.901168999999996,-3.028058,2005,8,20,22,30,1,1,0,0
200504BC05111,53.873166000000005,-2.756636,2005,9,22,16,30,0,0,0,1
200504BC05112,53.939498,-2.712591,2005,9,25,11,60,0,0,0,1
200504BJ05023,53.922842,-3.0162560000000003,2005,6,9,11,30,0,0,0,1
200504C001505,53.691359999999996,-2.72263,2005,1,6,12,60,1,0,0,0
200504C005005,53.568202,-2.885271,2005,1,20,16,30,1,0,0,0
200504C006205,53.698353000000004,-2.8098419999999997,2005,1,27,7,60,1,1,0,0
200504C007805,53.721655000000005,-2.572206,2005,2,2,18,60,1,0,0,0
200504C019305,53.649483999999994,-2.607538,2005,3,8,19,70,1,1,1,0
200504C021605,53.668737,-2.854834,2005,3,18,16,60,1,0,0,1
200504C024305,53.721198,-2.5547720000000003,2005,3,25,18,60,1,0,0,0
200504C033305,53.70973000000001,-2.566136,2005,4,23,12,60,0,1,0,0
200504C034005,53.574666,-2.8863119999999998,2005,4,25,14,40,1,0,0,0
200504CA05052,53.658188,-2.627789,2005,8,30,8,30,0,0,1,0
200504CC05001,53.627244999999995,-2.681161,2005,5,30,15,40,1,1,0,0
200504CC05025,53.641976,-2.616809,2005,7,24,13,30,1,1,0,0
200504CD05018,53.692333999999995,-2.537583,2005,7,24,7,60,1,0,0,0
200504CD05046,53.673241000000004,-2.619687,2005,12,7,13,50,1,0,0,0
200504CD05050,53.684552000000004,-2.639537,2005,12,16,7,40,1,1,0,0
200504CD05051,53.691997,-2.552268,2005,12,15,14,60,0,0,1,0
200504CH05050,53.671606999999995,-2.830219,2005,12,21,22,60,1,0,0,0
200504CJ05042,53.552389,-2.753015,2005,8,26,16,60,1,0,0,0
200504CK05088,53.563579000000004,-2.8534669999999998,2005,10,24,6,40,1,1,0,0
200504CM05007,53.763812,-2.608429,2005,5,17,17,60,0,1,1,0
200504CM05008,53.723136,-2.7149900000000002,2005,5,22,16,60,0,1,0,0
200504CM05032,53.706553,-2.676078,2005,6,9,21,70,1,0,0,0
200504CM05054,53.735670999999996,-2.676848,2005,7,13,22,70,0,1,0,0
200504CM05085,53.766736,-2.6168150000000003,2005,8,13,16,70,1,0,0,0
200504CP05046,53.733422999999995,-2.737904,2005,10,23,5,40,1,0,0,0
200504DF05014,53.829570999999994,-2.615307,2005,5,25,23,30,1,0,0,0
200504DF05032,53.797909999999995,-2.6535580000000003,2005,6,25,3,60,1,0,0,0
